Date,Consumption_kWh,Power_kW,DHI,DNI,GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2015-01-01 00:30:00,232.44,929.76,0.0,0.0,0.0,1.0,-7.0,161.11,0.07010000200000001,1.8,0.389,75.7,73.42,-3.0,1010.0
2015-01-01 00:45:00,229.08,916.32,0.0,0.0,0.0,0.5,-6.5,159.62,0.07010000200000001,1.95,0.3865,75.30000000000003,74.09,-3.0,1010.0
2015-01-01 01:00:00,227.28,909.12,0.0,0.0,0.0,0.0,-6.0,158.13,0.07010000200000001,2.1,0.384,74.9,74.76,-3.0,1010.0
2015-01-01 01:15:00,230.64,922.56,0.0,0.0,0.0,2.0,-6.0,156.04,0.07010000200000001,2.2,0.37200000000000005,74.9,74.76,-3.0,1010.0
2015-01-01 01:30:00,229.8,919.2,0.0,0.0,0.0,4.0,-6.0,153.95,0.07010000200000001,2.3,0.36,74.9,74.76,-3.0,1010.0
2015-01-01 01:45:00,234.12,936.48,0.0,0.0,0.0,2.5,-6.0,151.515,0.07010000200000001,2.45,0.348,76.85,74.93,-3.0,1010.0
2015-01-01 02:00:00,219.48,877.92,0.0,0.0,0.0,1.0,-6.0,149.08,0.07010000200000001,2.6,0.336,78.8,75.1,-3.0,1010.0
2015-01-01 02:15:00,221.64,886.56,0.0,0.0,0.0,0.5,-6.0,146.44,0.07010000200000001,2.6,0.3265,78.8,75.1,-3.0,1010.0
2015-01-01 02:30:00,220.8,883.2,0.0,0.0,0.0,0.0,-6.0,143.8,0.07010000200000001,2.6,0.317,78.8,75.1,-3.0,1010.0
2015-01-01 02:45:00,208.2,832.8,0.0,0.0,0.0,0.0,-6.5,141.05,0.07010000200000001,2.6,0.308,81.35,74.25,-3.0,1010.0
2015-01-01 03:00:00,213.0,852.0,0.0,0.0,0.0,0.0,-7.0,138.3,0.07010000200000001,2.6,0.299,83.9,73.4,-3.0,1010.0
2015-01-01 03:15:00,221.28,885.12,0.0,0.0,0.0,0.5,-7.0,135.49,0.07010000200000001,2.55,0.305,83.9,73.4,-3.0,1010.0
2015-01-01 03:30:00,218.16,872.64,0.0,0.0,0.0,1.0,-7.0,132.68,0.07010000200000001,2.5,0.311,83.9,73.4,-3.0,1010.0
2015-01-01 03:45:00,210.48,841.92,0.0,0.0,0.0,0.5,-7.0,129.845,0.07010000200000001,2.5,0.31699999999999995,85.0,74.805,-3.5,1010.0
2015-01-01 04:00:00,205.56,822.24,0.0,0.0,0.0,0.0,-7.0,127.01,0.07010000200000001,2.5,0.32299999999999995,86.1,76.21,-4.0,1010.0
2015-01-01 04:15:00,207.72,830.88,0.0,0.0,0.0,0.0,-7.0,124.17,0.07010000200000001,2.4,0.331,86.1,76.215,-4.0,1010.0
2015-01-01 04:30:00,202.68,810.72,0.0,0.0,0.0,0.0,-7.0,121.33,0.07010000200000001,2.3,0.339,86.1,76.22,-4.0,1010.0
2015-01-01 04:45:00,198.72,794.88,0.0,0.0,0.0,0.0,-7.0,118.515,0.07010000200000001,2.25,0.348,87.1,75.175,-4.0,1010.0
2015-01-01 05:00:00,198.36,793.44,0.0,0.0,0.0,0.0,-7.0,115.7,0.07010000200000001,2.2,0.35700000000000004,88.1,74.13,-4.0,1010.0
2015-01-01 05:15:00,202.56,810.24,0.0,0.0,0.0,0.0,-7.0,112.915,0.07010000200000001,2.05,0.364,88.1,74.13,-4.0,1010.0
2015-01-01 05:30:00,207.48,829.92,0.0,0.0,0.0,0.0,-7.0,110.13,0.07010000200000001,1.9,0.371,88.1,74.13,-4.0,1010.0
2015-01-01 05:45:00,207.72,830.88,0.0,0.0,0.0,0.0,-7.5,107.395,0.07010000200000001,1.7999999999999998,0.3785,87.44999999999997,76.625,-4.5,1010.0
2015-01-01 06:00:00,207.84,831.36,0.0,0.0,0.0,0.0,-8.0,104.66,0.07010000200000001,1.7,0.386,86.8,79.12,-5.0,1010.0
2015-01-01 06:15:00,210.84,843.36,0.0,0.0,0.0,0.5,-8.0,101.995,0.07010000200000001,1.65,0.3975,86.8,79.12,-5.0,1010.0
2015-01-01 06:30:00,209.88,839.52,0.0,0.0,0.0,1.0,-8.0,99.33,0.07010000200000001,1.6,0.409,86.8,79.12,-5.0,1010.0
2015-01-01 06:45:00,212.4,849.6,0.0,0.0,0.0,0.5,-8.0,96.75,0.07010000200000001,1.55,0.42100000000000004,83.4,79.255,-5.0,1010.0
2015-01-01 07:00:00,211.56,846.24,0.0,0.0,0.0,0.0,-8.0,94.17,0.07010000200000001,1.5,0.433,80.0,79.39,-5.0,1010.0
2015-01-01 07:15:00,215.04,860.16,0.0,0.0,0.0,0.0,-8.0,91.695,0.07010000200000001,1.6,0.443,80.0,76.52000000000002,-4.5,1010.0
2015-01-01 07:30:00,216.96,867.84,0.0,0.0,0.0,0.0,-8.0,89.22,0.07010000200000001,1.7,0.453,80.0,73.65,-4.0,1010.0
2015-01-01 07:45:00,227.28,909.12,14.5,213.5,35.0,0.0,-7.5,86.88,0.07010000200000001,1.7999999999999998,0.464,76.8,71.77000000000002,-3.5,1010.0
2015-01-01 08:00:00,232.92,931.68,29.0,427.0,70.0,0.0,-7.0,84.54,0.07010000200000001,1.9,0.475,73.6,69.89,-3.0,1010.0
2015-01-01 08:15:00,232.8,931.2,36.5,509.5,107.5,0.0,-7.0,82.35,0.07010000200000001,2.05,0.473,73.6,67.4,-2.5,1010.0
2015-01-01 08:30:00,236.16,944.64,44.0,592.0,145.0,0.0,-7.0,80.16,0.07010000200000001,2.2,0.471,73.6,64.91,-2.0,1010.0
2015-01-01 08:45:00,238.56,954.24,48.5,646.5,182.5,0.0,-7.0,78.16,0.07010000200000001,2.35,0.469,72.85,64.53,-2.0,1010.0
2015-01-01 09:00:00,255.48,1021.92,53.0,701.0,220.0,0.0,-7.0,76.16,0.07010000200000001,2.5,0.467,72.1,64.15,-2.0,1010.0
2015-01-01 09:15:00,252.96,1011.84,56.5,735.5,255.0,0.5,-7.0,74.375,0.07010000200000001,2.55,0.4595,72.1,61.87000000000001,-1.5,1010.0
2015-01-01 09:30:00,249.24,996.96,60.0,770.0,290.0,1.0,-7.0,72.59,0.07010000200000001,2.6,0.452,72.1,59.59,-1.0,1010.0
2015-01-01 09:45:00,260.52,1042.08,61.5,796.5,320.5,0.5,-7.5,71.06,0.07010000200000001,2.7,0.4445,71.05,57.13500000000001,-0.5,1010.0
2015-01-01 10:00:00,267.0,1068.0,63.0,823.0,351.0,0.0,-8.0,69.53,0.07010000200000001,2.8,0.4370000000000001,70.0,54.68,0.0,1010.0
2015-01-01 10:15:00,255.0,1020.0,65.0,839.0,375.5,0.0,-8.0,68.295,0.07010000200000001,2.8,0.4325,70.0,54.66,0.0,1010.0
2015-01-01 10:30:00,264.6,1058.4,67.0,855.0,400.0,0.0,-8.0,67.06,0.07010000200000001,2.8,0.428,70.0,54.64,0.0,1010.0
2015-01-01 10:45:00,256.68,1026.72,68.0,865.5,418.0,0.5,-7.5,66.14500000000001,0.07010000200000001,2.85,0.4235,67.45,55.74500000000001,0.0,1010.0
2015-01-01 11:00:00,268.08,1072.32,69.0,876.0,436.0,1.0,-7.0,65.23,0.07010000200000001,2.9,0.419,64.9,56.85,0.0,1010.0
2015-01-01 11:15:00,258.6,1034.4,70.0,881.5,447.0,0.5,-7.0,64.67500000000001,0.07010000200000001,2.9,0.42200000000000004,64.9,56.825,0.0,1010.0
2015-01-01 11:30:00,270.72,1082.88,71.0,887.0,458.0,0.0,-7.0,64.12,0.07010000200000001,2.9,0.425,64.9,56.8,0.0,1010.0
2015-01-01 11:45:00,263.76,1055.04,71.5,887.5,461.5,0.0,-6.5,63.935,0.07010000200000001,2.9,0.4285,62.05,56.27,0.5,1010.0
2015-01-01 12:00:00,263.16,1052.64,72.0,888.0,465.0,0.0,-6.0,63.75,0.07010000200000001,2.9,0.4320000000000001,59.2,55.74,1.0,1010.0
2015-01-01 12:15:00,261.24,1044.96,72.0,885.5,461.0,0.0,-6.0,63.945,0.07010000200000001,2.9,0.4410000000000001,59.2,55.725,1.0,1010.0
2015-01-01 12:30:00,260.52,1042.08,72.0,883.0,457.0,0.0,-6.0,64.14,0.07010000200000001,2.9,0.45,59.2,55.71,1.0,1010.0
2015-01-01 12:45:00,259.8,1039.2,73.5,868.0,444.0,0.0,-6.0,64.71000000000001,0.07010000200000001,2.95,0.459,57.90000000000001,57.31,1.0,1010.0
2015-01-01 13:00:00,258.48,1033.92,75.0,853.0,431.0,0.0,-6.0,65.28,0.07010000200000001,3.0,0.468,56.6,58.91,1.0,1010.0
2015-01-01 13:15:00,255.0,1020.0,73.5,842.0,413.0,0.0,-6.0,66.205,0.07010000200000001,2.95,0.474,56.6,58.9,1.0,1010.0
2015-01-01 13:30:00,258.24,1032.96,72.0,831.0,395.0,0.0,-6.0,67.13,0.07010000200000001,2.9,0.48,56.6,58.89,1.0,1010.0
2015-01-01 13:45:00,246.96,987.84,70.0,814.5,370.5,0.0,-5.5,68.375,0.07010000200000001,2.9,0.486,56.5,58.335,1.5,1010.0
2015-01-01 14:00:00,254.64,1018.56,68.0,798.0,346.0,0.0,-5.0,69.62,0.07010000200000001,2.9,0.4920000000000001,56.4,57.78,2.0,1010.0
2015-01-01 14:15:00,255.0,1020.0,65.5,774.0,316.0,0.0,-5.0,71.16,0.07010000200000001,2.8,0.4905000000000001,56.4,59.915,1.5,1010.0
2015-01-01 14:30:00,254.76,1019.04,63.0,750.0,286.0,0.0,-5.0,72.7,0.07010000200000001,2.7,0.489,56.4,62.05,1.0,1010.0
2015-01-01 14:45:00,253.08,1012.32,58.0,723.5,252.0,0.0,-4.5,74.49000000000002,0.07010000200000001,2.6,0.4875,57.15,64.05,1.0,1010.0
2015-01-01 15:00:00,259.44,1037.76,53.0,697.0,218.0,0.0,-4.0,76.28,0.07010000200000001,2.5,0.486,57.9,66.05,1.0,1010.0
2015-01-01 15:15:00,249.12,996.48,48.0,644.0,180.5,0.0,-4.0,78.28999999999998,0.07010000200000001,2.4,0.4895,57.9,68.515,0.5,1010.0
2015-01-01 15:30:00,243.96,975.84,43.0,591.0,143.0,0.0,-4.0,80.3,0.07010000200000001,2.3,0.493,57.9,70.98,0.0,1010.0
2015-01-01 15:45:00,252.72,1010.88,35.5,514.0,106.0,0.0,-4.0,82.49000000000002,0.07010000200000001,2.25,0.4965,57.75,72.26,0.0,1010.0
2015-01-01 16:00:00,249.48,997.92,28.0,437.0,69.0,0.0,-4.0,84.68,0.07010000200000001,2.2,0.5,57.6,73.54,0.0,1010.0
2015-01-01 16:15:00,239.52,958.08,14.0,218.5,34.5,0.0,-4.0,87.03,0.07010000200000001,2.25,0.518,57.6,73.54,0.0,1010.0
2015-01-01 16:30:00,244.8,979.2,0.0,0.0,0.0,0.0,-4.0,89.38,0.07010000200000001,2.3,0.536,57.6,73.54,0.0,1010.0
2015-01-01 16:45:00,256.08,1024.32,0.0,0.0,0.0,0.0,-3.5,91.855,0.07010000200000001,2.4,0.5549999999999999,57.2,74.25,0.0,1010.0
2015-01-01 17:00:00,254.04,1016.16,0.0,0.0,0.0,0.0,-3.0,94.33,0.07010000200000001,2.5,0.574,56.8,74.96,0.0,1010.0
2015-01-01 17:15:00,253.44,1013.76,0.0,0.0,0.0,0.0,-3.0,96.915,0.07010000200000001,2.5,0.5945,56.8,74.96,0.0,1010.0
2015-01-01 17:30:00,258.6,1034.4,0.0,0.0,0.0,0.0,-3.0,99.5,0.07010000200000001,2.5,0.615,56.8,74.96,0.0,1010.0
2015-01-01 17:45:00,252.84,1011.36,0.0,0.0,0.0,0.0,-3.0,102.165,0.07010000200000001,2.55,0.6355,56.65,75.755,0.0,1010.0
2015-01-01 18:00:00,257.52,1030.08,0.0,0.0,0.0,0.0,-3.0,104.83,0.07010000200000001,2.6,0.6559999999999999,56.5,76.55,0.0,1010.0
2015-01-01 18:15:00,253.68,1014.72,0.0,0.0,0.0,0.0,-3.0,107.565,0.07010000200000001,2.6,0.6705,56.5,76.555,0.0,1010.0
2015-01-01 18:30:00,251.04,1004.16,0.0,0.0,0.0,0.0,-3.0,110.3,0.07010000200000001,2.6,0.685,56.5,76.56,0.0,1010.0
2015-01-01 18:45:00,255.36,1021.44,0.0,0.0,0.0,0.0,-3.0,113.085,0.07010000200000001,2.6,0.7,56.65,77.27000000000002,0.0,1010.0
2015-01-01 19:00:00,248.28,993.12,0.0,0.0,0.0,0.0,-3.0,115.87,0.07010000200000001,2.6,0.715,56.8,77.98,0.0,1010.0
2015-01-01 19:15:00,248.76,995.04,0.0,0.0,0.0,0.0,-3.0,118.69,0.07010000200000001,2.55,0.732,56.8,77.98,0.0,1010.0
2015-01-01 19:30:00,258.72,1034.88,0.0,0.0,0.0,0.0,-3.0,121.51,0.07010000200000001,2.5,0.7490000000000001,56.8,77.98,0.0,1010.0
2015-01-01 19:45:00,257.76,1031.04,0.0,0.0,0.0,0.0,-3.0,124.345,0.07010000200000001,2.45,0.7665000000000001,56.95,78.685,0.0,1010.0
2015-01-01 20:00:00,255.24,1020.96,0.0,0.0,0.0,0.0,-3.0,127.18,0.07010000200000001,2.4,0.784,57.1,79.39,0.0,1010.0
2015-01-01 20:15:00,251.04,1004.16,0.0,0.0,0.0,0.0,-3.0,130.015,0.07010000200000001,2.35,0.802,57.1,79.38,0.0,1010.0
2015-01-01 20:30:00,245.28,981.12,0.0,0.0,0.0,0.0,-3.0,132.85,0.07010000200000001,2.3,0.82,57.1,79.37,0.0,1010.0
2015-01-01 20:45:00,247.92,991.68,0.0,0.0,0.0,0.0,-2.5,135.655,0.07010000200000001,2.25,0.838,58.55,80.11,0.0,1010.0
2015-01-01 21:00:00,240.6,962.4,0.0,0.0,0.0,0.0,-2.0,138.46,0.07010000200000001,2.2,0.856,60.0,80.85,0.0,1010.0
2015-01-01 21:15:00,244.08,976.32,0.0,0.0,0.0,0.5,-2.0,141.20499999999996,0.07010000200000001,2.1500000000000004,0.8755,60.0,80.85,0.0,1010.0
2015-01-01 21:30:00,241.56,966.24,0.0,0.0,0.0,1.0,-2.0,143.95,0.07010000200000001,2.1,0.895,60.0,80.85,0.0,1010.0
2015-01-01 21:45:00,239.76,959.04,0.0,0.0,0.0,2.5,-2.0,146.57999999999996,0.07010000200000001,2.05,0.9145,62.55,81.69999999999997,0.0,1010.0
2015-01-01 22:00:00,234.72,938.88,0.0,0.0,0.0,4.0,-2.0,149.21,0.07010000200000001,2.0,0.934,65.1,82.55,0.0,1010.0
2015-01-01 22:15:00,242.64,970.56,0.0,0.0,0.0,2.0,-2.0,151.635,0.07010000200000001,1.95,0.948,65.1,82.555,0.0,1010.0
