Date,Consumption_kWh,Power_kW
1/1/15 0:30,232.44,929.76
1/1/15 0:45,229.08,916.32
1/1/15 1:00,227.28,909.12
1/1/15 1:15,230.64,922.56
1/1/15 1:30,229.8,919.2
1/1/15 1:45,234.12,936.48
1/1/15 2:00,219.48,877.92
1/1/15 2:15,221.64,886.56
1/1/15 2:30,220.8,883.2
1/1/15 2:45,208.2,832.8
1/1/15 3:00,213,852
1/1/15 3:15,221.28,885.12
1/1/15 3:30,218.16,872.64
1/1/15 3:45,210.48,841.92
1/1/15 4:00,205.56,822.24
1/1/15 4:15,207.72,830.88
1/1/15 4:30,202.68,810.72
1/1/15 4:45,198.72,794.88
1/1/15 5:00,198.36,793.44
1/1/15 5:15,202.56,810.24
1/1/15 5:30,207.48,829.92
1/1/15 5:45,207.72,830.88
1/1/15 6:00,207.84,831.36
1/1/15 6:15,210.84,843.36
1/1/15 6:30,209.88,839.52
1/1/15 6:45,212.4,849.6
1/1/15 7:00,211.56,846.24
1/1/15 7:15,215.04,860.16
1/1/15 7:30,216.96,867.84
1/1/15 7:45,227.28,909.12
1/1/15 8:00,232.92,931.68
1/1/15 8:15,232.8,931.2
1/1/15 8:30,236.16,944.64
1/1/15 8:45,238.56,954.24
1/1/15 9:00,255.48,1021.92
1/1/15 9:15,252.96,1011.84
1/1/15 9:30,249.24,996.96
1/1/15 9:45,260.52,1042.08
1/1/15 10:00,267,1068
1/1/15 10:15,255,1020
1/1/15 10:30,264.6,1058.4
1/1/15 10:45,256.68,1026.72
1/1/15 11:00,268.08,1072.32
1/1/15 11:15,258.6,1034.4
1/1/15 11:30,270.72,1082.88
1/1/15 11:45,263.76,1055.04
1/1/15 12:00,263.16,1052.64
1/1/15 12:15,261.24,1044.96
1/1/15 12:30,260.52,1042.08
1/1/15 12:45,259.8,1039.2
1/1/15 13:00,258.48,1033.92
1/1/15 13:15,255,1020
1/1/15 13:30,258.24,1032.96
1/1/15 13:45,246.96,987.84
1/1/15 14:00,254.64,1018.56
1/1/15 14:15,255,1020
1/1/15 14:30,254.76,1019.04
1/1/15 14:45,253.08,1012.32
1/1/15 15:00,259.44,1037.76
1/1/15 15:15,249.12,996.48
1/1/15 15:30,243.96,975.84
1/1/15 15:45,252.72,1010.88
1/1/15 16:00,249.48,997.92
1/1/15 16:15,239.52,958.08
1/1/15 16:30,244.8,979.2
1/1/15 16:45,256.08,1024.32
1/1/15 17:00,254.04,1016.16
1/1/15 17:15,253.44,1013.76
1/1/15 17:30,258.6,1034.4
1/1/15 17:45,252.84,1011.36
1/1/15 18:00,257.52,1030.08
1/1/15 18:15,253.68,1014.72
1/1/15 18:30,251.04,1004.16
1/1/15 18:45,255.36,1021.44
1/1/15 19:00,248.28,993.12
1/1/15 19:15,248.76,995.04
1/1/15 19:30,258.72,1034.88
1/1/15 19:45,257.76,1031.04
1/1/15 20:00,255.24,1020.96
1/1/15 20:15,251.04,1004.16
1/1/15 20:30,245.28,981.12
1/1/15 20:45,247.92,991.68
1/1/15 21:00,240.6,962.4
1/1/15 21:15,244.08,976.32
1/1/15 21:30,241.56,966.24
1/1/15 21:45,239.76,959.04
1/1/15 22:00,234.72,938.88
1/1/15 22:15,242.64,970.56
1/1/15 22:30,238.32,953.28
1/1/15 22:45,228.96,915.84
1/1/15 23:00,236.88,947.52
1/1/15 23:15,227.52,910.08
1/1/15 23:30,214.92,859.68
1/1/15 23:45,216.36,865.44
1/2/15 0:00,219.6,878.4
1/2/15 0:15,210.36,841.44
1/2/15 0:30,212.64,850.56
1/2/15 0:45,208.8,835.2
1/2/15 1:00,205.68,822.72
1/2/15 1:15,202.68,810.72
1/2/15 1:30,197.04,788.16
1/2/15 1:45,195.36,781.44
1/2/15 2:00,194.4,777.6
1/2/15 2:15,197.28,789.12
1/2/15 2:30,195.12,780.48
1/2/15 2:45,194.16,776.64
1/2/15 3:00,193.32,773.28
1/2/15 3:15,192.96,771.84
1/2/15 3:30,197.76,791.04
1/2/15 3:45,201.96,807.84
