Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units
NSRDB,123456,-,-,-,0,0.11,-5,19,-5,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2015,1,1,0,0,0,0,0,0,-7,162.25,0.070100002,1.6,0.395,75.7,79.11,-4,1010
2015,1,1,0,30,0,0,0,1,-7,161.11,0.070100002,1.8,0.389,75.7,73.42,-3,1010
2015,1,1,1,0,0,0,0,0,-6,158.13,0.070100002,2.1,0.384,74.9,74.76,-3,1010
2015,1,1,1,30,0,0,0,4,-6,153.95,0.070100002,2.3,0.36,74.9,74.76,-3,1010
2015,1,1,2,0,0,0,0,1,-6,149.08,0.070100002,2.6,0.336,78.8,75.1,-3,1010
2015,1,1,2,30,0,0,0,0,-6,143.8,0.070100002,2.6,0.317,78.8,75.1,-3,1010
2015,1,1,3,0,0,0,0,0,-7,138.3,0.070100002,2.6,0.299,83.9,73.4,-3,1010
2015,1,1,3,30,0,0,0,1,-7,132.68,0.070100002,2.5,0.311,83.9,73.4,-3,1010
2015,1,1,4,0,0,0,0,0,-7,127.01,0.070100002,2.5,0.323,86.1,76.21,-4,1010
2015,1,1,4,30,0,0,0,0,-7,121.33,0.070100002,2.3,0.339,86.1,76.22,-4,1010
2015,1,1,5,0,0,0,0,0,-7,115.7,0.070100002,2.2,0.357,88.1,74.13,-4,1010
2015,1,1,5,30,0,0,0,0,-7,110.13,0.070100002,1.9,0.371,88.1,74.13,-4,1010
2015,1,1,6,0,0,0,0,0,-8,104.66,0.070100002,1.7,0.386,86.8,79.12,-5,1010
2015,1,1,6,30,0,0,0,1,-8,99.33,0.070100002,1.6,0.409,86.8,79.12,-5,1010
2015,1,1,7,0,0,0,0,0,-8,94.17,0.070100002,1.5,0.433,80,79.39,-5,1010
2015,1,1,7,30,0,0,0,0,-8,89.22,0.070100002,1.7,0.453,80,73.65,-4,1010
2015,1,1,8,0,29,427,70,0,-7,84.54,0.070100002,1.9,0.475,73.6,69.89,-3,1010
2015,1,1,8,30,44,592,145,0,-7,80.16,0.070100002,2.2,0.471,73.6,64.91,-2,1010
2015,1,1,9,0,53,701,220,0,-7,76.16,0.070100002,2.5,0.467,72.1,64.15,-2,1010
2015,1,1,9,30,60,770,290,1,-7,72.59,0.070100002,2.6,0.452,72.1,59.59,-1,1010
2015,1,1,10,0,63,823,351,0,-8,69.53,0.070100002,2.8,0.437,70,54.68,0,1010
2015,1,1,10,30,67,855,400,0,-8,67.06,0.070100002,2.8,0.428,70,54.64,0,1010
2015,1,1,11,0,69,876,436,1,-7,65.23,0.070100002,2.9,0.419,64.9,56.85,0,1010
2015,1,1,11,30,71,887,458,0,-7,64.12,0.070100002,2.9,0.425,64.9,56.8,0,1010
2015,1,1,12,0,72,888,465,0,-6,63.75,0.070100002,2.9,0.432,59.2,55.74,1,1010
2015,1,1,12,30,72,883,457,0,-6,64.14,0.070100002,2.9,0.45,59.2,55.71,1,1010
2015,1,1,13,0,75,853,431,0,-6,65.28,0.070100002,3,0.468,56.6,58.91,1,1010
2015,1,1,13,30,72,831,395,0,-6,67.13,0.070100002,2.9,0.48,56.6,58.89,1,1010
2015,1,1,14,0,68,798,346,0,-5,69.62,0.070100002,2.9,0.492,56.4,57.78,2,1010
